id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625761450886,6,8,4,7,21,11251,108553
1625761451492,6,4,10,21,1,2151,1
1625761454508,2,2,4,6,19,3278,160372
1625761455638,4,4,4,7,21,8242,134487
1625761460241,6,6,10,23,3,10816,155
1625761462646,6,4,10,24,2,5597,33
1625761468364,6,2,10,18,14,4546,52290
1625761472298,8,6,10,22,6,13273,1870
1625761472863,6,4,10,20,3,5099,110
1625761477311,8,8,10,23,2,20194,23
1625761479573,6,6,10,24,4,8903,462
1625761480729,4,6,4,7,22,3481,128377
1625761485082,6,4,10,21,4,5991,376
1625761489686,4,6,10,23,1,1975,0
1625761496112,4,8,4,6,21,10166,129147
1625761496644,6,4,10,25,5,5608,771
1625761500821,6,6,10,21,5,10359,1401
1625761501707,8,6,10,22,7,14415,2680
1625761501751,4,6,10,22,2,5882,28
1625761508488,6,4,10,22,6,5284,1431
1625761511043,4,2,4,6,21,6232,161763
1625761513432,4,6,10,20,3,5670,125
1625761516430,8,8,10,22,3,20411,119
1625761522874,6,4,10,24,7,5239,2811
1625761523107,6,6,10,22,6,9428,2618
1625761526671,4,6,10,24,4,6445,804
1625761530541,8,6,10,20,8,11803,4100
1625761539939,6,4,10,25,8,5517,5001
1625761540309,4,6,10,22,5,6058,840
1625761543447,2,8,4,7,20,1407,154608
1625761547537,6,6,10,21,7,9567,4641
1625761551951,6,2,10,18,15,4720,72816
1625761554175,8,8,10,24,4,19048,333
1625761555836,4,6,10,24,6,6748,2435
1625761561102,6,4,10,21,9,6083,8362
1625761565266,8,6,10,22,9,14013,7012
1625761570531,2,4,4,8,20,5546,185805
1625761571986,4,6,10,22,7,6614,3556
1625761575980,6,6,10,22,8,10402,8131
1625761582508,2,6,4,7,21,1398,169939
1625761587180,6,4,10,23,10,5713,11927
1625761592739,6,8,4,8,22,4634,131501
1625761594875,4,6,10,20,8,6221,7856
1625761595785,8,8,10,23,5,19739,832
1625761605136,8,6,10,22,10,12242,12135
1625761611381,6,6,10,24,9,10915,13088
1625761613495,6,8,10,20,1,4063,0
1625761621611,4,6,10,25,9,7590,11415
1625761624820,6,4,10,21,11,8155,22189
1625761635734,8,8,10,23,6,19510,1277
1625761645264,6,8,10,23,2,15846,41
1625761648515,8,6,10,22,11,13375,15807
1625761650816,2,2,4,6,20,427,195488
1625761654027,6,6,10,23,10,10294,20983
1625761654430,4,8,4,8,22,2505,153404
1625761655141,4,6,10,25,10,8078,17467
1625761657030,6,2,10,18,16,2366,100309
1625761666523,4,4,4,7,22,8153,193435
1625761666959,4,8,10,25,1,2691,0
1625761671228,4,4,10,24,1,1343,0
1625761672552,6,4,10,20,12,7943,32639
1625761675032,6,8,10,23,3,14804,178
1625761676440,8,8,10,22,7,19640,2415
1625761677921,4,4,10,21,2,2926,31
1625761684764,4,4,10,23,3,3313,106
1625761686173,4,8,10,22,2,9355,31
1625761692557,4,4,10,25,4,3747,304
1625761695661,4,6,10,22,11,7568,24391
1625761700990,4,4,10,23,5,3878,705
1625761701212,8,6,10,23,12,14892,21939
1625761705480,6,8,10,20,4,14811,477
1625761705931,4,8,10,22,3,10116,109
1625761706206,6,6,10,21,11,10830,29657
1625761707676,4,2,4,6,22,589,195088
1625761709352,4,2,10,18,1,538,0
1625761710168,4,4,10,23,6,3810,1785
1625761712080,4,2,10,18,2,1306,23
