scene idx, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Post-Recognition [all in milliseconds]

    (types:2-relations:2) -> 5 Elements
4	2700	338	2457		2281	573	2978		2269	435	2174
5	2190	1222	2481		2677	1472	3294		2260	1290	2120
6	2606	2412	2536		2793	4203	2953		2280	2929	2547
7	2636	5097	3472		2834	5741	3038		2219	5774	2583
8	3123	9318	4167		2908	10292	3260		2603	8894	2762
9	3863	14661	3620		3496	17591	4544		2648	17534	2758
10	3923	28952	4437		4294	29849	4892		2698	26319	3400
11	4040	38770	4640		4434	45022	5425		3531	37127	3948
12	4598	50145	5218		4609	57747	5580		3840	50302	4238
13	5518	81626	6568		5588	93061	6242		4226	70862	5862
14	6014	108929	7798		6334	113726	7002		5552	110093	5840
15	9053	163723	9474		9306	150478	11710		6369	128443	7165
16	8681	195645	10744		9586	228380	11198		8446	188827	8233
17	14995	297860	15244		13265	309152	13712		8445	235568	9283
18	13782	388831	18424		15516	331127	13111		10694	311038	12606

    (types:4-relations:2) -> 30 Elements
1	1342	3	6369		1330	3	6014		1055	4	5293
2	6431	39	6414		6258	75	6234		5574	26	5621
3	6502	190	5557		5799	376	5602		5661	110	5527
4	5572	526	5559		5537	876	5800		5572	478	5745
5	5826	1634	6120		5973	2156	6089		5737	1574	6252
6	6036	3138	6284		5767	3510	6141		5946	2994	6020
7	6099	4887	6718		6034	6405	6194		6683	6026	6762
8	6526	9099	7142		6233	10209	6423		6420	9018	6440
9	6767	15620	7542		6427	15056	6905		6179	14264	6827
10	7354	20260	7669		6823	23005	7720		7005	21371	7414
11	7834	35270	8534		7234	32277	7885		8351	42393	10263
12	8488	47296	9240		7973	52912	9408		9025	57433	9337
13	8841	68273	10594		8703	69736	10580		9066	71290	9651
14	11488	108627	11727		10998	109974	11158		10111	102363	11234
15	11401	129147	14269		11063	129013	14212		11954	162525	12529
16	13995	193969	13231		12876	183877	14465		12801	204963	14958
17	15465	261581	16299		15255	246062	16663		15309	270670	17602
18	18649	348141	20756		17227	335842	18363		17029	354796	20138

######################################################################################################
    (types:4-relations:4) -> 5 Elements
1	504	38	1054		222	4	1045		213	3	770
2	877	36	1207		808	21	874		749	21	990
3	1245	1559	1260		914	80	800		887	91	770
4	1257	237	788		829	229	1504		811	221	804
5	643	617	989		1544	655	1285		1516	599	1040
6	798	1066	681		960	1433	1107		855	985	899
7	572	1686	801		1096	2347	1279		1298	2054	1116
8	901	2749	1073		1570	4385	1608		1391	3813	1490
9	956	5265	1122		1461	7370	1871		1556	6086	1773
10	1042	7205	1332		1824	12174	2015		1634	11217	2049
11	1500	10644	1774		1019	17050	909		1996	17430	2799
12	2658	23493	2445		2610	22889	2943		2828	24246	3067
13	934	25612	859		914	29105	940		3067	39323	7124
14	1045	37715	1553		3588	45167	3973		6611	66582	5777
15	1101	53637	1170		946	58353	1208		5023	80990	6252
16	1091	60232	1194		4613	76870	5064		6560	102969	6108
17	5078	82921	6187		7710	105529	8031		6467	167000	11241
18	7128	106285	7718		8942	165375	9559		10367	218532	9213

    (types:4-relations:4) -> 11 Elements
1	580	3	2983		596	3	3213		498	3	2845
2	3279	31	3092		5243	38	3184		2843	37	2662
3	3238	168	3860		3379	206	2966		2685	124	2699
4	3141	643	4750		7351	569	4142		2692	388	2691
5	6567	1950	4897		3837	1694	4199		2756	964	2727
6	3775	2335	3666		3884	2650	3749		2864	1778	2985
7	4165	6393	7240		3549	5263	4069		3132	3681	3390
8	4181	10663	4601		4761	9714	4653		3206	6368	3581
9	6265	18803	5668		4842	16521	5281		2709	9095	2624
10	6437	27693	9204		5080	27197	6377		3720	16784	4286
11	7698	50620	8373		6833	45248	6015		4503	25647	5018
12	8868	78062	7321		6573	57027	8686		4710	37102	5511
13	9590	101589	11615		7781	124401	9385		5663	46217	4737
14	12805	133863	13487		8300	98592	7346		4919	61913	5713
15	5677	161109	3478		7700	116557	8997		5675	85337	7364
16	15001	250455	20213		9423	176180	10284		8172	118905	8582
17	16563	340258	17437		11321	233132	12258		8007	167431	8776
18	20174	427941	47920		12391	315108	16719		9679	217156	11186

    (types:4-relations:4) -> 17 Elements
1	1216	3	7767		1484	7	9143		2425	44	13234
2	7880	44	10820		9895	48	10736		21660	123	19486
3	9084	202	8846		9935	236	10417		18243	288	17558
4	9367	626	10043		10003	680	11267		19353	2904	19162
5	9959	1590	10169		9653	1979	10863		17396	2715	20362
6	9115	3530	9914		11416	4197	10732		15759	6128	16090
7	10236	6973	9995		10040	6264	9897		15518	11012	22459
8	9521	12974	10006		9685	11733	8808		16397	23509	19776
9	10211	22224	10848		9210	15828	10380		18976	35016	24679
10	10461	36485	11806		9527	24347	8890		10863	52673	24129
11	11272	59986	12345		9638	37471	9303		26031	91322	27164
12	13565	85104	14111		9665	56716	12066		17308	136307	26522
13	14251	124945	15961		11800	91368	13459		24100	172382	14084
14	18317	196957	18839		13348	136655	15405		16972	169107	18675
15	18839	231362	20791		15264	169873	17232		18857	239288	27279
16	20511	323930	25082		16566	251875	21689		27840	398807	30000
17	26834	481318	28017		24174	337255	21771		27472	483288	35016
18	29521	655285	32750		19926	542173	31889		33847	761739	38623

    (types:4-relations:4) -> 30 Elements
1	4209	32	22471		2953	3	20267		3517	5	23157
2	22878	83	21496		19884	60	21201		24646	47	23001
3	23070	267	21989		19108	153	19810		23567	300	21637
4	23282	596	28208		22709	512	21173		25633	634	23633
5	24202	1524	22373		20732	1246	20453		25440	1783	24962
6	24544	3799	25180		21572	2570	22891		26258	3043	27711
7	22443	6766	24175		27165	6433	21381		37096	4770	15827
8	23562	10959	26332		21580	11044	24639		16342	10011	18073
9	29693	20092	26425		22619	23099	25350		17210	15089	19007
10	27548	42164	30306		26116	34808	27513		18020	26127	19906
11	27926	66763	28977		27640	50371	23458		18691	37709	19756
12	30317	91536	32413		27963	76122	25004		19693	58845	22398
13	30905	139648	41645		32914	157994	35037		21611	114105	32773
14	38836	199513	48521		31194	172679	37304		33541	192598	31914
15	45311	283277	42437		41283	266586	39988		37373	241446	38753
16	43046	347017	44141		40299	388311	51672		41798	365140	41112
17	45465	468467	41877		45322	643562	44132		38837	548137	41994
18	40649	693860	55091		35090	613054	40714		39866	651338	50381

######################################################################################################
    (types:4-relations:6) -> 5 Elements
1	464	31	1729		285	3	1453		280	5	1383
2	1786	60	1848		1338	20	1449		1289	22	1578
3	1922	196	2234		1287	75	1444		1484	94	1222
4	2049	418	2261		1353	220	1641		1364	213	1276
5	2355	842	1847		1518	479	1619		1584	473	1440
6	1614	1056	1586		1572	1125	2544		1492	894	1418
7	1963	2103	2014		1903	1884	1960		1568	1986	1666
8	1709	3245	1847		2029	3079	2019		1555	3023	1824
9	2160	4914	2341		2029	5794	2540		1783	5204	1889
10	1492	6633	1416		2435	8093	2711		1930	8387	3129
11	2399	9356	2896		2903	12970	3388		2376	12889	2618
12	3494	15303	3648		3346	19188	3358		2579	18821	2985
13	3539	22704	3574		3590	31522	4429		3301	24930	3568
